"emissao","pedido","cod_vend","vendedor","venda","cod1","cod2","cod3","cod4","cod5","cod6","cod7","prod1","prod2","prod3","prod4","prod5","prod6","prod7","qtde1","qtde2","qtde3","qtde4","qtde5","qtde6","qtde7","vlr1","vlr2","vlr3","vlr4","vlr5","vlr6","vlr7","total1","total2","total3","total4","total5","total6","total7","sub_total","desconto","total_gera"
"2011-04-26 00:00:00","0000032","0123     ","TAISE          ","V. AVISTA ","02113","     ","     ","     ","     ","     ","     ","BLUSH                        ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","11.50","0.00","0.00","0.00","0.00","0.00","0.00","11.50","0.00","0.00","0.00","0.00","0.00","0.00","11.50","0.00","11.50"
"2011-04-26 00:00:00","0000033","123      ","BRUNA          ","V. AVISTA ","01792","04451","     ","     ","     ","     ","     ","SOMBRINHA                    ","GUARDA CHUVA                 ","                             ","                             ","                             ","                             ","                             ","1","1","0","0","0","0","0","10.00","9.00","0.00","0.00","0.00","0.00","0.00","10.00","9.00","0.00","0.00","0.00","0.00","0.00","19.00","1.00","18.00"
"2011-04-26 00:00:00","0000034","0123     ","TAISE          ","V. AVISTA ","02079","02075","02061","     ","     ","     ","     ","CAMISA MANGA LONGA INF.      ","CAMISA MANGA LONGA INF.      ","CAIXA SABONETE ERVA DOCE NATU","                             ","                             ","                             ","                             ","1","1","2","0","0","0","0","22.00","28.00","11.40","0.00","0.00","0.00","0.00","22.00","28.00","22.80","0.00","0.00","0.00","0.00","72.80","0.00","72.80"
"2011-04-26 00:00:00","0000035","0123     ","TAISE          ","V. AVISTA ","01228","     ","     ","     ","     ","     ","     ","BLUSA ADUL.                  ","                             ","                             ","                             ","                             ","                             ","                             ","2","0","0","0","0","0","0","29.00","0.00","0.00","0.00","0.00","0.00","0.00","58.00","0.00","0.00","0.00","0.00","0.00","0.00","58.00","0.00","58.00"
"2011-04-26 00:00:00","0000036","123      ","BRUNA          ","V. AVISTA ","01862","     ","     ","     ","     ","     ","     ","RAQUETE ELETRICA             ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","12.00","0.00","0.00","0.00","0.00","0.00","0.00","12.00","0.00","0.00","0.00","0.00","0.00","0.00","12.00","0.00","12.00"
"2011-04-26 00:00:00","0000037","0123     ","TAISE          ","V. AVISTA ","01705","     ","     ","     ","     ","     ","     ","CINTO ADUL. FEM.             ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","7.00","0.00","0.00","0.00","0.00","0.00","0.00","7.00","0.00","0.00","0.00","0.00","0.00","0.00","7.00","0.00","7.00"
"2011-04-26 00:00:00","0000038","243      ","AMANDA         ","V. AVISTA ","01234","     ","     ","     ","     ","     ","     ","BLUSA ADUL.                  ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","37.00","0.00","0.00","0.00","0.00","0.00","0.00","37.00","0.00","0.00","0.00","0.00","0.00","0.00","37.00","0.00","37.00"
"2011-04-26 00:00:00","0000039","243      ","AMANDA         ","V. AVISTA ","01043","     ","     ","     ","     ","     ","     ","CAMISA ADUL.                 ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","36.00","0.00","0.00","0.00","0.00","0.00","0.00","36.00","0.00","0.00","0.00","0.00","0.00","0.00","36.00","0.00","36.00"
"2011-04-26 00:00:00","0000040","0123     ","TAISE          ","V. AVISTA ","00301","00473","     ","     ","     ","     ","     ","CASACO ADUL. FEM.            ","CASACO ADUL. FEM.            ","                             ","                             ","                             ","                             ","                             ","1","1","0","0","0","0","0","60.00","58.00","0.00","0.00","0.00","0.00","0.00","60.00","58.00","0.00","0.00","0.00","0.00","0.00","118.00","0.00","118.00"
"2011-04-26 00:00:00","0000041","123      ","BRUNA          ","V. AVISTA ","02159","01029","02266","01392","02111","     ","     ","CAMISA MANGA LONGA ADUL.     ","CAMISA ADUL.                 ","CAL€A ADUL. MASC.            ","CAL€A ADUL. MASC.            ","OVO DE PASCOA                ","                             ","                             ","1","1","1","1","3","0","0","33.00","33.00","84.00","90.00","3.90","0.00","0.00","33.00","33.00","84.00","90.00","11.70","0.00","0.00","251.70","0.00","251.70"
"2011-04-26 00:00:00","0000042","123      ","BRUNA          ","V. AVISTA ","00258","     ","     ","     ","     ","     ","     ","CINTO ADUL.                  ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","12.00","0.00","0.00","0.00","0.00","0.00","0.00","12.00","0.00","0.00","0.00","0.00","0.00","0.00","12.00","0.00","12.00"
"2011-04-27 00:00:00","0000043","0123     ","TAISE          ","V. AVISTA ","01000","     ","     ","     ","     ","     ","     ","BONECA                       ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","87.00","0.00","0.00","0.00","0.00","0.00","0.00","87.00","0.00","0.00","0.00","0.00","0.00","0.00","87.00","0.00","87.00"
"2011-04-27 00:00:00","0000044","0123     ","TAISE          ","V. AVISTA ","02139","01614","00135","02084","04630","02035","01688","CALCINHA INF.                ","SAMBA CAN€AO                 ","MEIA ADUL.                   ","MEIA INF.                    ","CUECA                        ","CASACO BEBE FEM.             ","PIJAMA INF. FEM.             ","2","1","1","1","1","1","1","3.80","12.00","3.00","6.00","11.00","34.00","26.00","7.60","12.00","3.00","6.00","11.00","34.00","26.00","99.60","9.60","90.00"
"2011-04-27 00:00:00","0000045","123      ","BRUNA          ","V. AVISTA ","02270","     ","     ","     ","     ","     ","     ","VESTIDO INF.                 ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","84.00","0.00","0.00","0.00","0.00","0.00","0.00","84.00","0.00","0.00","0.00","0.00","0.00","0.00","84.00","0.00","84.00"
"2011-04-27 00:00:00","0000046","243      ","AMANDA         ","V. AVISTA ","02031","     ","     ","     ","     ","     ","     ","CAMISOLA C/ CALCINHA         ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","40.00","0.00","0.00","0.00","0.00","0.00","0.00","40.00","0.00","0.00","0.00","0.00","0.00","0.00","40.00","0.00","40.00"
"2011-04-27 00:00:00","0000047","243      ","AMANDA         ","V. AVISTA ","01021","     ","     ","     ","     ","     ","     ","CAMISA ADUL.                 ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","25.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","0.00","25.00"
"2011-04-27 00:00:00","0000048","243      ","AMANDA         ","V. AVISTA ","02291","     ","     ","     ","     ","     ","     ","GLOSS                        ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","3.50","0.00","0.00","0.00","0.00","0.00","0.00","3.50","0.00","0.00","0.00","0.00","0.00","0.00","3.50","0.00","3.50"
"2011-04-27 00:00:00","0000049","0123     ","TAISE          ","V. AVISTA ","01067","     ","     ","     ","     ","     ","     ","CAMISA ADUL.                 ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","36.00","0.00","0.00","0.00","0.00","0.00","0.00","36.00","0.00","0.00","0.00","0.00","0.00","0.00","36.00","0.00","36.00"
"2011-04-27 00:00:00","0000050","243      ","AMANDA         ","V. AVISTA ","02216","00843","     ","     ","     ","     ","     ","CASACO INF. FEM.             ","CAL€A ADUL. FEM.             ","                             ","                             ","                             ","                             ","                             ","1","1","0","0","0","0","0","62.00","72.00","0.00","0.00","0.00","0.00","0.00","62.00","72.00","0.00","0.00","0.00","0.00","0.00","134.00","0.00","134.00"
"2011-04-27 00:00:00","0000051","243      ","AMANDA         ","V. AVISTA ","00093","     ","     ","     ","     ","     ","     ","CAL€A PROM.                  ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","55.00","0.00","0.00","0.00","0.00","0.00","0.00","55.00","0.00","0.00","0.00","0.00","0.00","0.00","55.00","0.00","55.00"
"2011-04-28 00:00:00","0000052","1234     ","ADA            ","V. AVISTA ","01140","02105","     ","     ","     ","     ","     ","VESTIDO ADUL.                ","CONJ. POTES VIDRO            ","                             ","                             ","                             ","                             ","                             ","1","1","0","0","0","0","0","69.00","31.00","0.00","0.00","0.00","0.00","0.00","69.00","31.00","0.00","0.00","0.00","0.00","0.00","100.00","2.00","98.00"
"2011-04-28 00:00:00","0000053","123      ","BRUNA          ","V. AVISTA ","00007","     ","     ","     ","     ","     ","     ","CAL€A INF. FEM.              ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","54.00","0.00","0.00","0.00","0.00","0.00","0.00","54.00","0.00","0.00","0.00","0.00","0.00","0.00","54.00","4.00","50.00"
"2011-04-28 00:00:00","0000054","0123     ","TAISE          ","V. AVISTA ","02068","     ","     ","     ","     ","     ","     ","SUTIA MENINA MO€A            ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","6.00","0.00","0.00","0.00","0.00","0.00","0.00","6.00","0.00","0.00","0.00","0.00","0.00","0.00","6.00","0.00","6.00"
"2011-04-28 00:00:00","0000055","0123     ","TAISE          ","V. AVISTA ","01031","     ","     ","     ","     ","     ","     ","GUARDA CHUVA                 ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","8.00","0.00","0.00","0.00","0.00","0.00","0.00","8.00","0.00","0.00","0.00","0.00","0.00","0.00","8.00","0.00","8.00"
"2011-04-29 00:00:00","0000056","123      ","BRUNA          ","V. AVISTA ","00032","01011","     ","     ","     ","     ","     ","CAMISA ADUL.                 ","CAMISA ADUL.                 ","                             ","                             ","                             ","                             ","                             ","1","1","0","0","0","0","0","38.00","45.00","0.00","0.00","0.00","0.00","0.00","38.00","45.00","0.00","0.00","0.00","0.00","0.00","83.00","0.00","83.00"
"2011-04-29 00:00:00","0000057","243      ","AMANDA         ","V. AVISTA ","01218","     ","     ","     ","     ","     ","     ","BLUSA ADUL.                  ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","50.00","0.00","0.00","0.00","0.00","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","50.00","0.00","50.00"
"2011-04-29 00:00:00","0000058","123      ","BRUNA          ","V. AVISTA ","02489","     ","     ","     ","     ","     ","     ","CAL€A ADUL. FEM.             ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","99.00","0.00","0.00","0.00","0.00","0.00","0.00","99.00","0.00","0.00","0.00","0.00","0.00","0.00","99.00","0.00","99.00"
"2011-04-29 00:00:00","0000059","243      ","AMANDA         ","V. AVISTA ","00295","     ","     ","     ","     ","     ","     ","CONJ. MOLETON. MASC.         ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","63.00","0.00","0.00","0.00","0.00","0.00","0.00","63.00","0.00","0.00","0.00","0.00","0.00","0.00","63.00","3.00","60.00"
"2011-04-29 00:00:00","0000060","0123     ","TAISE          ","V. AVISTA ","04692","     ","     ","     ","     ","     ","     ","MEIA ADUL.                   ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","4.50","0.00","0.00","0.00","0.00","0.00","0.00","4.50","0.00","0.00","0.00","0.00","0.00","0.00","4.50","0.00","4.50"
"2011-04-29 00:00:00","0000061","3333     ","GLEYDYSA       ","V. AVISTA ","01674","     ","     ","     ","     ","     ","     ","SUTIA AMAMENTACAO            ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","44.00","0.00","0.00","0.00","0.00","0.00","0.00","44.00","0.00","0.00","0.00","0.00","0.00","0.00","44.00","0.00","44.00"
"2011-04-29 00:00:00","0000062","123      ","BRUNA          ","V. AVISTA ","02489","     ","     ","     ","     ","     ","     ","CAL€A ADUL. FEM.             ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","99.00","0.00","0.00","0.00","0.00","0.00","0.00","99.00","0.00","0.00","0.00","0.00","0.00","0.00","99.00","4.00","95.00"
"2011-04-29 00:00:00","0000063","3333     ","GLEYDYSA       ","V. AVISTA ","00929","00258","     ","     ","     ","     ","     ","MAQUIAGEM                    ","CINTO ADUL.                  ","                             ","                             ","                             ","                             ","                             ","1","1","0","0","0","0","0","4.50","12.00","0.00","0.00","0.00","0.00","0.00","4.50","12.00","0.00","0.00","0.00","0.00","0.00","16.50","0.00","16.50"
"2011-04-29 00:00:00","0000064","0123     ","TAISE          ","V. AVISTA ","02263","02102","     ","     ","     ","     ","     ","CAMISOLA INF.                ","CHALEIRA INOX                ","                             ","                             ","                             ","                             ","                             ","1","1","0","0","0","0","0","11.00","32.00","0.00","0.00","0.00","0.00","0.00","11.00","32.00","0.00","0.00","0.00","0.00","0.00","43.00","0.00","43.00"
"2011-04-29 00:00:00","0000065","0123     ","TAISE          ","V. AVISTA ","01169","     ","     ","     ","     ","     ","     ","BLUSA ADUL.                  ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","54.00","0.00","0.00","0.00","0.00","0.00","0.00","54.00","0.00","0.00","0.00","0.00","0.00","0.00","54.00","2.00","52.00"
"2011-04-29 00:00:00","0000066","123      ","BRUNA          ","V. AVISTA ","02186","     ","     ","     ","     ","     ","     ","CASACO ADUL. FEM.            ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","45.00","0.00","0.00","0.00","0.00","0.00","0.00","45.00","0.00","0.00","0.00","0.00","0.00","0.00","45.00","0.00","45.00"
"2011-04-29 00:00:00","0000067","243      ","AMANDA         ","V. AVISTA ","00338","     ","     ","     ","     ","     ","     ","CASACO INF. FEM.             ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","54.00","0.00","0.00","0.00","0.00","0.00","0.00","54.00","0.00","0.00","0.00","0.00","0.00","0.00","54.00","0.00","54.00"
"2011-04-29 00:00:00","0000068","243      ","AMANDA         ","V. AVISTA ","00258","     ","     ","     ","     ","     ","     ","CINTO ADUL.                  ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","12.00","0.00","0.00","0.00","0.00","0.00","0.00","12.00","0.00","0.00","0.00","0.00","0.00","0.00","12.00","2.00","10.00"
"2011-04-29 00:00:00","0000069","123      ","BRUNA          ","V. AVISTA ","02297","00375","     ","     ","     ","     ","     ","VESTIDO INF. PROM.           ","CONJ. INF. FEM.              ","                             ","                             ","                             ","                             ","                             ","1","1","0","0","0","0","0","49.00","73.00","0.00","0.00","0.00","0.00","0.00","49.00","73.00","0.00","0.00","0.00","0.00","0.00","122.00","0.00","122.00"
"2011-04-29 00:00:00","0000070","123      ","BRUNA          ","V. AVISTA ","04511","     ","     ","     ","     ","     ","     ","SUTIA                        ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","30.00","0.00","0.00","0.00","0.00","0.00","0.00","30.00","0.00","0.00","0.00","0.00","0.00","0.00","30.00","0.00","30.00"
"2011-04-29 00:00:00","0000071","0123     ","TAISE          ","V. AVISTA ","00351","00895","     ","     ","     ","     ","     ","BLUSA INF.                   ","CAL€A E SHORT. INF. PROM.    ","                             ","                             ","                             ","                             ","                             ","1","1","0","0","0","0","0","18.00","20.00","0.00","0.00","0.00","0.00","0.00","18.00","20.00","0.00","0.00","0.00","0.00","0.00","38.00","0.00","38.00"
"2011-04-29 00:00:00","0000072","243      ","AMANDA         ","V. AVISTA ","01180","00135","     ","     ","     ","     ","     ","MEIA ADUL.                   ","MEIA ADUL.                   ","                             ","                             ","                             ","                             ","                             ","2","1","0","0","0","0","0","5.00","3.00","0.00","0.00","0.00","0.00","0.00","10.00","3.00","0.00","0.00","0.00","0.00","0.00","13.00","0.00","13.00"
"2011-04-29 00:00:00","0000073","5555     ","SARUANA        ","V. AVISTA ","00843","     ","     ","     ","     ","     ","     ","CAL€A ADUL. FEM.             ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","72.00","0.00","0.00","0.00","0.00","0.00","0.00","72.00","0.00","0.00","0.00","0.00","0.00","0.00","72.00","0.00","72.00"
"2011-04-29 00:00:00","0000074","243      ","AMANDA         ","V. AVISTA ","00623","     ","     ","     ","     ","     ","     ","CONJ. INF. MASC.             ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","40.00","0.00","0.00","0.00","0.00","0.00","0.00","40.00","0.00","0.00","0.00","0.00","0.00","0.00","40.00","0.00","40.00"
"2011-04-29 00:00:00","0000075","0123     ","TAISE          ","V. AVISTA ","04451","     ","     ","     ","     ","     ","     ","GUARDA CHUVA                 ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","9.00","0.00","0.00","0.00","0.00","0.00","0.00","9.00","0.00","0.00","0.00","0.00","0.00","0.00","9.00","0.00","9.00"
"2011-04-29 00:00:00","0000076","3333     ","GLEYDYSA       ","V. AVISTA ","00963","     ","     ","     ","     ","     ","     ","CONJ. INF. PROM.             ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","52.00","0.00","0.00","0.00","0.00","0.00","0.00","52.00","0.00","0.00","0.00","0.00","0.00","0.00","52.00","2.00","50.00"
"2011-04-29 00:00:00","0000077","0123     ","TAISE          ","V. AVISTA ","02291","     ","     ","     ","     ","     ","     ","GLOSS                        ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","3.50","0.00","0.00","0.00","0.00","0.00","0.00","3.50","0.00","0.00","0.00","0.00","0.00","0.00","3.50","0.00","3.50"
"2011-04-29 00:00:00","0000078","243      ","AMANDA         ","V. AVISTA ","01285","00648","     ","     ","     ","     ","     ","BLUSA ADUL.                  ","BOLA                         ","                             ","                             ","                             ","                             ","                             ","1","1","0","0","0","0","0","63.00","3.00","0.00","0.00","0.00","0.00","0.00","63.00","3.00","0.00","0.00","0.00","0.00","0.00","66.00","0.00","66.00"
"2011-04-29 00:00:00","0000079","243      ","AMANDA         ","V. AVISTA ","01240","01279","     ","     ","     ","     ","     ","BLUSA ADUL.                  ","BLUSA ADUL.                  ","                             ","                             ","                             ","                             ","                             ","1","1","0","0","0","0","0","36.00","25.00","0.00","0.00","0.00","0.00","0.00","36.00","25.00","0.00","0.00","0.00","0.00","0.00","61.00","0.00","61.00"
"2011-04-29 00:00:00","0000080","123      ","BRUNA          ","V. AVISTA ","01871","     ","     ","     ","     ","     ","     ","CARRO€A PRAIA                ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","36.00","0.00","0.00","0.00","0.00","0.00","0.00","36.00","0.00","0.00","0.00","0.00","0.00","0.00","36.00","0.00","36.00"
"2011-04-29 00:00:00","0000081","3333     ","GLEYDYSA       ","V. AVISTA ","00181","     ","     ","     ","     ","     ","     ","OCULOS                       ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","18.00","0.00","0.00","0.00","0.00","0.00","0.00","18.00","0.00","0.00","0.00","0.00","0.00","0.00","18.00","3.00","15.00"
"2011-05-02 00:00:00","0000082","243      ","AMANDA         ","V. AVISTA ","00775","     ","     ","     ","     ","     ","     ","BOLSA ESCOLAR                ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","24.00","0.00","0.00","0.00","0.00","0.00","0.00","24.00","0.00","0.00","0.00","0.00","0.00","0.00","24.00","0.00","24.00"
"2011-05-02 00:00:00","0000083","243      ","AMANDA         ","V. AVISTA ","04571","     ","     ","     ","     ","     ","     ","TINTA CABELO                 ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","13.00","0.00","0.00","0.00","0.00","0.00","0.00","13.00","0.00","0.00","0.00","0.00","0.00","0.00","13.00","0.00","13.00"
"2011-05-02 00:00:00","0000084","243      ","AMANDA         ","V. AVISTA ","00179","     ","     ","     ","     ","     ","     ","CALCULADORA                  ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","7.50","0.00","0.00","0.00","0.00","0.00","0.00","7.50","0.00","0.00","0.00","0.00","0.00","0.00","7.50","0.00","7.50"
"2011-05-02 00:00:00","0000085","243      ","AMANDA         ","V. AVISTA ","01031","02186","     ","     ","     ","     ","     ","GUARDA CHUVA                 ","CASACO ADUL. FEM.            ","                             ","                             ","                             ","                             ","                             ","1","1","0","0","0","0","0","8.00","45.00","0.00","0.00","0.00","0.00","0.00","8.00","45.00","0.00","0.00","0.00","0.00","0.00","53.00","0.00","53.00"
"2011-05-02 00:00:00","0000086","0123     ","TAISE          ","V. AVISTA ","01792","     ","     ","     ","     ","     ","     ","SOMBRINHA                    ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","10.00","0.00","0.00","0.00","0.00","0.00","0.00","10.00","0.00","0.00","0.00","0.00","0.00","0.00","10.00","0.00","10.00"
"2011-05-02 00:00:00","0000087","243      ","AMANDA         ","V. AVISTA ","00473","     ","     ","     ","     ","     ","     ","CASACO ADUL. FEM.            ","                             ","                             ","                             ","                             ","                             ","                             ","1","0","0","0","0","0","0","58.00","0.00","0.00","0.00","0.00","0.00","0.00","58.00","0.00","0.00","0.00","0.00","0.00","0.00","58.00","45.00","13.00"
